e, e_dot, e_int, stamp, 
-1.7684304236816775, -0.0007439121752672584, -0.24048630321481324, builtin_interfaces.msg.Time(sec=100, nanosec=675000000), 
-1.770429057675062, -0.007406025098877962, -0.36088053774214535, builtin_interfaces.msg.Time(sec=100, nanosec=777000000), 
-1.7744218260663087, -0.019971341282104167, -0.3613031289047673, builtin_interfaces.msg.Time(sec=100, nanosec=879000000), 
-1.7766172227667516, -0.020627216972298374, -0.3618598312425523, builtin_interfaces.msg.Time(sec=100, nanosec=981000000), 
-1.719234299328847, 0.18395842245820582, -0.3583785876750097, builtin_interfaces.msg.Time(sec=101, nanosec=83000000), 
-1.5991492086849917, 0.5915600469391998, -0.3464600496930801, builtin_interfaces.msg.Time(sec=101, nanosec=185000000), 
-1.4192584167262319, 0.9999196086753837, -0.3221596508823248, builtin_interfaces.msg.Time(sec=101, nanosec=287000000), 
-1.2362088341464363, 1.209801248461851, -0.28931391924992084, builtin_interfaces.msg.Time(sec=101, nanosec=389000000), 
-1.0512078946159387, 1.2268350737009774, -0.25205390989322524, builtin_interfaces.msg.Time(sec=101, nanosec=491000000), 
-0.8650828187646699, 1.2370867179392215, -0.21436996923183904, builtin_interfaces.msg.Time(sec=101, nanosec=593000000), 
-0.6730573308164407, 1.2605018793316598, -0.1760756670053993, builtin_interfaces.msg.Time(sec=101, nanosec=695000000), 
-0.4750980667328477, 1.2999491734394073, -0.13690019870934914, builtin_interfaces.msg.Time(sec=101, nanosec=797000000), 
-0.2847460162313735, 1.2943710486168907, -0.097437296137085, builtin_interfaces.msg.Time(sec=101, nanosec=899000000), 
-0.1576279095742401, 1.0582338571953587, -0.05199007957717947, builtin_interfaces.msg.Time(sec=101, nanosec=967000000), 
0.011328530017964855, 0.9869151541644613, -0.024425905761300097, builtin_interfaces.msg.Time(sec=102, nanosec=69000000), 
0.13298507374048563, 0.9687099443824191, -0.0009053727954736946, builtin_interfaces.msg.Time(sec=102, nanosec=171000000), 
0.19631319049347118, 0.6166155349183544, 0.02316262200913067, builtin_interfaces.msg.Time(sec=102, nanosec=273000000), 
0.21303067662691122, 0.2668186762880853, 0.03687836797853902, builtin_interfaces.msg.Time(sec=102, nanosec=375000000), 
0.18810323312142208, -0.027366524573497013, 0.0406264028164427, builtin_interfaces.msg.Time(sec=102, nanosec=477000000), 
0.1302487264804133, -0.2759398338216597, 0.036134019263554765, builtin_interfaces.msg.Time(sec=102, nanosec=579000000), 
0.06741467066074458, -0.40229520820225834, 0.026232130857855435, builtin_interfaces.msg.Time(sec=102, nanosec=681000000), 
0.015014532000987124, -0.38411398159808724, 0.014462099181665859, builtin_interfaces.msg.Time(sec=102, nanosec=783000000), 
-0.018249806467285135, -0.2855482570934324, 0.004364198941222366, builtin_interfaces.msg.Time(sec=102, nanosec=885000000), 
-0.03222647836495063, -0.15747003455312583, -0.0024113991925249073, builtin_interfaces.msg.Time(sec=102, nanosec=987000000), 
-0.032195987221868894, -0.046487269181945866, -0.005621714499679116, builtin_interfaces.msg.Time(sec=103, nanosec=89000000), 
-0.02365712015827315, 0.0285645273555916, -0.0059894118306663005, builtin_interfaces.msg.Time(sec=103, nanosec=191000000), 
-0.016176680782151953, 0.0533976881323898, -0.004898025595035991, builtin_interfaces.msg.Time(sec=103, nanosec=293000000), 
-0.007228711922330877, 0.054761360786474235, -0.003200250874667406, builtin_interfaces.msg.Time(sec=103, nanosec=395000000), 
-0.0004605046337557983, 0.05238725382798718, -0.0016228810190002266, builtin_interfaces.msg.Time(sec=103, nanosec=497000000), 
0.0032146735148632644, 0.034811284790647136, -0.00025355743900266, builtin_interfaces.msg.Time(sec=103, nanosec=565000000), 
0.005325656189612005, 0.019287202744559345, 0.00045785675400743665, builtin_interfaces.msg.Time(sec=103, nanosec=667000000), 
0.005488270992972, 0.0075786582603624515, 0.0009539448474264142, builtin_interfaces.msg.Time(sec=103, nanosec=769000000), 
0.004537508084128561, -0.0026271603516114794, 0.0010438975981364542, builtin_interfaces.msg.Time(sec=103, nanosec=871000000), 
0.0030054461272595034, -0.008276082885708321, 0.0008861233138964843, builtin_interfaces.msg.Time(sec=103, nanosec=973000000), 
0.0014043010858588723, -0.01044402332756563, 0.0006084133602127916, builtin_interfaces.msg.Time(sec=104, nanosec=75000000), 
0.0001299800179666022, -0.009584887030976338, 0.00030870145171377845, builtin_interfaces.msg.Time(sec=104, nanosec=177000000), 
-0.0006429073133438212, -0.006824027997342312, 6.061341775275241e-05, builtin_interfaces.msg.Time(sec=104, nanosec=279000000), 
-0.0009260463767266636, -0.0035200879823108857, -9.7850209703064e-05, builtin_interfaces.msg.Time(sec=104, nanosec=381000000), 
-0.0008087163001968545, -0.0005526966228434441, -0.00016168155933817904, builtin_interfaces.msg.Time(sec=104, nanosec=483000000), 
-0.0005111861750040081, 0.0013828673390755182, -0.00015272452193107176, builtin_interfaces.msg.Time(sec=104, nanosec=585000000), 
-0.0002068381416155951, 0.002006260528604198, -0.0001038183619435191, builtin_interfaces.msg.Time(sec=104, nanosec=687000000), 
-1.178431592463447e-05, 0.001664672863597912, -4.962698701300816e-05, builtin_interfaces.msg.Time(sec=104, nanosec=789000000), 
0.00011180543887512329, 0.0010621452683023946, -7.263557269227227e-06, builtin_interfaces.msg.Time(sec=104, nanosec=891000000), 
0.00015880420550629104, 0.0005686284047697517, 1.7600122335061028e-05, builtin_interfaces.msg.Time(sec=104, nanosec=993000000), 
0.00015437175823818094, 0.00014188773121019219, 2.8898735378132476e-05, builtin_interfaces.msg.Time(sec=105, nanosec=95000000), 
0.0001326816191276059, -8.707528792895047e-05, 3.0318315635301292e-05, builtin_interfaces.msg.Time(sec=105, nanosec=197000000), 
9.934318258264518e-05, -0.00018342858551845254, 2.189580506374448e-05, builtin_interfaces.msg.Time(sec=105, nanosec=265000000), 
5.9162725570161e-05, -0.00024506297852481634, 1.6500626545890017e-05, builtin_interfaces.msg.Time(sec=105, nanosec=367000000), 
1.7626035733186995e-05, -0.00027239048949819394, 1.1976972184247534e-05, builtin_interfaces.msg.Time(sec=105, nanosec=469000000), 
-1.4304617629967709e-05, -0.00024489114400042905, 4.248921769789859e-06, builtin_interfaces.msg.Time(sec=105, nanosec=571000000), 
-3.371752918046589e-05, -0.00017114521637884295, -2.0669355532527688e-06, builtin_interfaces.msg.Time(sec=105, nanosec=673000000), 
-3.9516137173789545e-05, -8.403839847940613e-05, -5.952603310927173e-06, builtin_interfaces.msg.Time(sec=105, nanosec=775000000), 
-6.0513592374134006e-05, -8.93202106455604e-05, -9.094813593530481e-06, builtin_interfaces.msg.Time(sec=105, nanosec=877000000), 
-5.2347309253519825e-05, -4.2770573599100935e-05, -1.0361638638498148e-05, builtin_interfaces.msg.Time(sec=105, nanosec=979000000), 
-3.0302903637036138e-05, 0.00010070229579032623, -9.735138757998917e-06, builtin_interfaces.msg.Time(sec=106, nanosec=81000000), 
-7.716395161061484e-06, 0.0001487697136415278, -6.144929347509986e-06, builtin_interfaces.msg.Time(sec=106, nanosec=183000000), 
9.020844976115328e-06, 0.0001310791620438382, -1.9718948598947957e-06, builtin_interfaces.msg.Time(sec=106, nanosec=285000000), 
1.8683106883576883e-05, 8.799834014879455e-05, 1.3591538555068891e-06, builtin_interfaces.msg.Time(sec=106, nanosec=387000000), 
2.0431956847977162e-05, 3.803703957287278e-05, 3.273241792121517e-06, builtin_interfaces.msg.Time(sec=106, nanosec=489000000), 
1.745346376802459e-05, -4.098810385174308e-06, 3.846659869971347e-06, builtin_interfaces.msg.Time(sec=106, nanosec=591000000), 
1.1495667604943804e-05, -2.9787630810111192e-05, 3.3579139990242973e-06, builtin_interfaces.msg.Time(sec=106, nanosec=693000000), 
4.890107702326674e-06, -4.187785355232639e-05, 2.301068257120064e-06, builtin_interfaces.msg.Time(sec=106, nanosec=795000000), 
-9.905745885774309e-07, -4.162080731173745e-05, 1.046873648871127e-06, builtin_interfaces.msg.Time(sec=106, nanosec=897000000), 
-3.7847391920475815e-06, -2.891615631458085e-05, 6.504988896427477e-09, builtin_interfaces.msg.Time(sec=106, nanosec=965000000), 
-7.008990956514083e-06, -2.0061387893122173e-05, -6.67777268437882e-07, builtin_interfaces.msg.Time(sec=107, nanosec=67000000), 
-8.586457227233169e-06, -1.6005726783951957e-05, -1.3178527415540484e-06, builtin_interfaces.msg.Time(sec=107, nanosec=169000000), 
-9.350593523915762e-06, -7.805341891338932e-06, -1.6963308361210846e-06, builtin_interfaces.msg.Time(sec=107, nanosec=271000000), 
-8.995824925861484e-06, -1.3645589954277189e-06, -1.831435546036708e-06, builtin_interfaces.msg.Time(sec=107, nanosec=373000000), 
-7.271277950859911e-06, 6.93105191018617e-06, -1.7420033552433265e-06, builtin_interfaces.msg.Time(sec=107, nanosec=475000000), 
-4.545045201087561e-06, 1.4835932415913078e-05, -1.4152260692910088e-06, builtin_interfaces.msg.Time(sec=107, nanosec=577000000), 
