e, e_dot, e_int, stamp, 
5.102605535034198, 0.0007775976555161416, 0.6939332065036049, builtin_interfaces.msg.Time(sec=4, nanosec=998000000), 
5.104720411218978, 0.00782686176282077, 1.0410594843281447, builtin_interfaces.msg.Time(sec=5, nanosec=100000000), 
5.109012949644732, 0.021358048701779115, 1.0415110449210576, builtin_interfaces.msg.Time(sec=5, nanosec=202000000), 
5.115477461138407, 0.03585683306476165, 1.0423863358961438, builtin_interfaces.msg.Time(sec=5, nanosec=304000000), 
5.122309585630315, 0.04432211995194576, 1.0435823997561147, builtin_interfaces.msg.Time(sec=5, nanosec=406000000), 
5.1264556032265345, 0.03659380696042547, 1.0447685001996774, builtin_interfaces.msg.Time(sec=5, nanosec=508000000), 
5.1240194545405435, 0.005699563034093913, 1.0453493557510227, builtin_interfaces.msg.Time(sec=5, nanosec=610000000), 
5.1129553499683915, -0.0450008441938099, 1.0447132677260118, builtin_interfaces.msg.Time(sec=5, nanosec=712000000), 
5.093640767789674, -0.10126228916956433, 1.0424818589163054, builtin_interfaces.msg.Time(sec=5, nanosec=814000000), 
5.0667137592703835, -0.1541386356600268, 1.0385850716379343, builtin_interfaces.msg.Time(sec=5, nanosec=916000000), 
5.033363201910742, -0.20092521959644097, 1.0331728055700142, builtin_interfaces.msg.Time(sec=6, nanosec=18000000), 
4.994477625949313, -0.24078711107023607, 1.0264297119248698, builtin_interfaces.msg.Time(sec=6, nanosec=120000000), 
4.965814107007866, -0.22516364967625435, 0.849640446309182, builtin_interfaces.msg.Time(sec=6, nanosec=188000000), 
4.922082389567145, -0.24131745460722462, 0.8433345336097116, builtin_interfaces.msg.Time(sec=6, nanosec=290000000), 
4.878691095362537, -0.29041003881776106, 1.004127956251753, builtin_interfaces.msg.Time(sec=6, nanosec=392000000), 
4.833960284178281, -0.29374035129621373, 0.9951618962993414, builtin_interfaces.msg.Time(sec=6, nanosec=494000000), 
4.789031697827171, -0.29886465845122184, 0.9861144492610231, builtin_interfaces.msg.Time(sec=6, nanosec=596000000), 
4.7432373259549125, -0.30240986074456205, 0.9769035929413046, builtin_interfaces.msg.Time(sec=6, nanosec=698000000), 
