e, e_dot, e_int, stamp, 
-1.5744215725341897, 0.0020775226249125645, -0.26772230493463506, builtin_interfaces.msg.Time(sec=7, nanosec=650000000), 
-1.5712952149902184, 0.012498822354370573, -0.26750982678918644, builtin_interfaces.msg.Time(sec=7, nanosec=718000000), 
-1.5701021408664055, 0.014398105559280486, -0.26722973927547944, builtin_interfaces.msg.Time(sec=7, nanosec=820000000), 
-1.5708717730116086, 0.0014114732620325772, -0.32043430076303975, builtin_interfaces.msg.Time(sec=7, nanosec=922000000), 
-1.5316387014044506, 0.12821146487318322, -0.3177376578392075, builtin_interfaces.msg.Time(sec=8, nanosec=24000000), 
-1.4282791194257918, 0.47530884528605616, -0.3080936923812458, builtin_interfaces.msg.Time(sec=8, nanosec=126000000), 
-1.2611626695867586, 0.9015867727256399, -0.28703347334835605, builtin_interfaces.msg.Time(sec=8, nanosec=228000000), 
-1.0758375052417393, 1.1748053806135084, -0.2560389920092917, builtin_interfaces.msg.Time(sec=8, nanosec=330000000), 
-0.8893715852949233, 1.2393036143061176, -0.21939327968839262, builtin_interfaces.msg.Time(sec=8, nanosec=432000000), 
-0.7023430747930726, 1.244981434828889, -0.181393547242422, builtin_interfaces.msg.Time(sec=8, nanosec=534000000), 
-0.5034784107217831, 1.2863105819104674, -0.14247312881506496, builtin_interfaces.msg.Time(sec=8, nanosec=636000000), 
-0.30989974637929296, 1.308144428045932, -0.10306904376880209, builtin_interfaces.msg.Time(sec=8, nanosec=738000000), 
-0.1501059898407311, 1.1779080696035067, -0.06551692199204288, builtin_interfaces.msg.Time(sec=8, nanosec=840000000), 
-0.04162555342870822, 0.8942473098352824, -0.03411092769611379, builtin_interfaces.msg.Time(sec=8, nanosec=942000000), 
0.004537658915052978, 0.5154788291859469, -0.012729184136098269, builtin_interfaces.msg.Time(sec=9, nanosec=44000000), 
-0.0011229715958886999, 0.13500860610939838, -0.0025983388954489875, builtin_interfaces.msg.Time(sec=9, nanosec=146000000), 
-0.03323832274859373, -0.12591993887882236, -0.0020280072092012024, builtin_interfaces.msg.Time(sec=9, nanosec=248000000), 
-0.06238384010584652, -0.20420289503319275, -0.006578669142622368, builtin_interfaces.msg.Time(sec=9, nanosec=350000000), 
-0.06658195186280946, -0.11114543038071911, -0.00919156650064415, builtin_interfaces.msg.Time(sec=9, nanosec=418000000), 
-0.051581212573631685, 0.036008758440716125, -0.010230996924062968, builtin_interfaces.msg.Time(sec=9, nanosec=520000000), 
-0.024373609112724015, 0.14069447583361816, -0.00969250060134323, builtin_interfaces.msg.Time(sec=9, nanosec=622000000), 
-0.001170723288215214, 0.16803496428472156, -0.005244537058270822, builtin_interfaces.msg.Time(sec=9, nanosec=724000000), 
0.008206139628011533, 0.1085991624691185, -0.0011789971085590832, builtin_interfaces.msg.Time(sec=9, nanosec=826000000), 
0.0037606127052134397, 0.01643778664476218, 0.0007341299750606634, builtin_interfaces.msg.Time(sec=9, nanosec=928000000), 
-0.007675702353233005, -0.05293947327081513, 0.00029179139863945376, builtin_interfaces.msg.Time(sec=10, nanosec=30000000), 
-0.015975860224997307, -0.06578824310070248, -0.0013525845913651472, builtin_interfaces.msg.Time(sec=10, nanosec=132000000), 
-0.01602073814954652, -0.027816785987711718, -0.0026977164494888244, builtin_interfaces.msg.Time(sec=10, nanosec=234000000), 
-0.008611658950445245, 0.024547337581840207, -0.0027613614980992567, builtin_interfaces.msg.Time(sec=10, nanosec=336000000), 
0.0007300885314462935, 0.055836088936642714, -0.001625356982661092, builtin_interfaces.msg.Time(sec=10, nanosec=438000000), 
0.006468694048443302, 0.05026784332962849, -9.607559319778412e-05, builtin_interfaces.msg.Time(sec=10, nanosec=540000000), 
0.006256971691287916, 0.01842294386613874, 0.0009149912904400706, builtin_interfaces.msg.Time(sec=10, nanosec=642000000), 
0.0017111678795043161, -0.015858420563129954, 0.0009817046861080162, builtin_interfaces.msg.Time(sec=10, nanosec=744000000), 
-0.003343243842613086, -0.03200071844633667, 0.00031449290951618186, builtin_interfaces.msg.Time(sec=10, nanosec=846000000), 
-0.00567945424350258, -0.024635407076689653, -0.0004971840540495717, builtin_interfaces.msg.Time(sec=10, nanosec=948000000), 
-0.004487874083654475, -0.0038154341368046296, -0.000765599089620308, builtin_interfaces.msg.Time(sec=11, nanosec=16000000), 
-0.001646113864598009, 0.013444467929681903, -0.0006694283908661202, builtin_interfaces.msg.Time(sec=11, nanosec=118000000), 
0.0014270117310466457, 0.019716286049003735, -0.00032007438276999696, builtin_interfaces.msg.Time(sec=11, nanosec=220000000), 
0.0025928361544556022, 0.01412983339684537, 0.00016141391342148822, builtin_interfaces.msg.Time(sec=11, nanosec=322000000), 
0.001958727629433943, 0.0017723863279576573, 0.0004065431350156609, builtin_interfaces.msg.Time(sec=11, nanosec=424000000), 
0.00016126213147305002, -0.008105246743275174, 0.00032047216224465643, builtin_interfaces.msg.Time(sec=11, nanosec=526000000), 
-0.0014099392972106717, -0.011228889755482049, 4.828343153134984e-05, builtin_interfaces.msg.Time(sec=11, nanosec=628000000), 
-0.0018563103849509321, -0.006725241721413274, -0.00021113915344682163, builtin_interfaces.msg.Time(sec=11, nanosec=730000000), 
-0.001145521641499725, 0.0008813921857031559, -0.00030000045000897033, builtin_interfaces.msg.Time(sec=11, nanosec=832000000), 
7.577975470551834e-05, 0.006440300465521502, -0.0001989715544786694, builtin_interfaces.msg.Time(sec=11, nanosec=934000000), 
0.0009715452114549272, 0.0070568895098488404, -6.677373923070994e-06, builtin_interfaces.msg.Time(sec=12, nanosec=36000000), 
0.0010896653362675313, 0.00337961860520671, 0.0001453153405651024, builtin_interfaces.msg.Time(sec=12, nanosec=138000000), 
0.0005252006548850385, -0.0014878151885662956, 0.00017587596177730976, builtin_interfaces.msg.Time(sec=12, nanosec=240000000), 
-0.00023867767912544302, -0.0044278100513099146, 9.358080521784461e-05, builtin_interfaces.msg.Time(sec=12, nanosec=342000000), 
-0.0007050418200549302, -0.004100808249799896, -2.8459281412082757e-05, builtin_interfaces.msg.Time(sec=12, nanosec=444000000), 
-0.0006605122174370148, -0.0014061151277052393, -0.00010908775672998237, builtin_interfaces.msg.Time(sec=12, nanosec=546000000), 
-0.00023786741518372345, 0.0015572480162373559, -0.00010903265878194544, builtin_interfaces.msg.Time(sec=12, nanosec=648000000), 
0.00011633283606471423, 0.00258948351167243, -4.4315985138174695e-05, builtin_interfaces.msg.Time(sec=12, nanosec=716000000), 
0.00038664878002969694, 0.0020817206507114014, 1.5023138051605636e-05, builtin_interfaces.msg.Time(sec=12, nanosec=818000000), 
0.0003661170183997253, 0.0008326139411167036, 5.9098707145601274e-05, builtin_interfaces.msg.Time(sec=12, nanosec=920000000), 
0.00017995726303898785, -0.0006889717233023637, 6.342516817985188e-05, builtin_interfaces.msg.Time(sec=13, nanosec=22000000), 
-3.944621160978379e-05, -0.0013518774333650303, 3.4450708748367196e-05, builtin_interfaces.msg.Time(sec=13, nanosec=124000000), 
-0.00016971500011719876, -0.001165574210520622, -1.985868510783639e-06, builtin_interfaces.msg.Time(sec=13, nanosec=226000000), 
-0.00015062953977462712, -0.0003706110938828111, -2.4465771102109455e-05, builtin_interfaces.msg.Time(sec=13, nanosec=328000000), 
-3.583810243501517e-05, 0.0004462563256072786, -2.4220419678225188e-05, builtin_interfaces.msg.Time(sec=13, nanosec=430000000), 
8.711679733153233e-05, 0.0007924877903538649, -6.755857451711477e-06, builtin_interfaces.msg.Time(sec=13, nanosec=532000000), 
0.00013988041481027835, 0.000585728390817645, 1.2998819460062093e-05, builtin_interfaces.msg.Time(sec=13, nanosec=634000000), 
0.0001050758230547455, 5.9863419077377245e-05, 2.2580966393365817e-05, builtin_interfaces.msg.Time(sec=13, nanosec=736000000), 
2.077660615262822e-05, -0.00039701269552550045, 1.806983339320034e-05, builtin_interfaces.msg.Time(sec=13, nanosec=838000000), 
-5.392915493707129e-05, -0.000530016593306056, 4.8907826503805645e-06, builtin_interfaces.msg.Time(sec=13, nanosec=940000000), 
-7.771596493943989e-05, -0.0003283085703068937, -7.53905893322404e-06, builtin_interfaces.msg.Time(sec=14, nanosec=42000000), 
-4.817809638213433e-05, 1.91701951831232e-05, -1.2227978705587893e-05, builtin_interfaces.msg.Time(sec=14, nanosec=144000000), 
5.448259906337682e-06, 0.0002772140828192586, -8.190314496236084e-06, builtin_interfaces.msg.Time(sec=14, nanosec=246000000), 
4.557738782873244e-05, 0.00031251828070288923, 1.9363349199963406e-07, builtin_interfaces.msg.Time(sec=14, nanosec=348000000), 
4.99772143984778e-05, 0.0001484298483071337, 5.7234955209010484e-06, builtin_interfaces.msg.Time(sec=14, nanosec=416000000), 
3.189827990390803e-05, -4.5597026416081356e-05, 7.222329987430035e-06, builtin_interfaces.msg.Time(sec=14, nanosec=518000000), 
2.3813056575505698e-06, -0.0001586530291364241, 5.729462397275674e-06, builtin_interfaces.msg.Time(sec=14, nanosec=620000000), 
-1.6774120378704183e-05, -0.00016224133427537404, 1.1903716324273005e-06, builtin_interfaces.msg.Time(sec=14, nanosec=722000000), 
-1.9239558709083227e-05, -7.206954788877933e-05, -2.287001393256105e-06, builtin_interfaces.msg.Time(sec=14, nanosec=824000000), 
-7.137381428545808e-06, 3.212246316719458e-05, -2.9342721151106583e-06, builtin_interfaces.msg.Time(sec=14, nanosec=926000000), 
8.402945561591935e-06, 9.214168090225054e-05, -1.2222316311705225e-06, builtin_interfaces.msg.Time(sec=15, nanosec=28000000), 
1.7107705023722275e-05, 8.081695484089361e-05, 1.2493823026602512e-06, builtin_interfaces.msg.Time(sec=15, nanosec=130000000), 
1.4883244037200427e-05, 2.1600994918694976e-05, 2.746784834330995e-06, builtin_interfaces.msg.Time(sec=15, nanosec=232000000), 
5.134196581657591e-06, -3.991169480688228e-05, 2.5245099036954595e-06, builtin_interfaces.msg.Time(sec=15, nanosec=334000000), 
-4.929914199092167e-06, -6.604386078764198e-05, 1.0259517965440777e-06, builtin_interfaces.msg.Time(sec=15, nanosec=436000000), 
-9.251913616781238e-06, -4.795370066146276e-05, -6.152389239266752e-07, builtin_interfaces.msg.Time(sec=15, nanosec=538000000), 
-6.4322457042909065e-06, -5.007771683995799e-06, -1.401756999371173e-06, builtin_interfaces.msg.Time(sec=15, nanosec=640000000), 
5.295347889067159e-07, 3.260482801895984e-05, -1.030514468187249e-06, builtin_interfaces.msg.Time(sec=15, nanosec=742000000), 
8.162892069174532e-06, 4.865045924488479e-05, 1.536923184577432e-07, builtin_interfaces.msg.Time(sec=15, nanosec=844000000), 
